Lidnummer;Klassement enkel;Klassement dubbel;Klassement gemengd
50002619;D;D;D
50261568;D;D;D
50925652;D;D;D
50405608;D;D;D
50071800;C2;C1;C2
50055282;C2;C2;D
50560352;D;D;D
50334115;D;D;D
50042401;C2;C1;D
50063433;C2;C2;D
50906496;D;D;D
50099623;B2;C1;C2
50008498;C2;C2;C2
50682512;C2;C1;C2
50021700;C2;C1;C2
50017906;B1;B1;C1
50017902;B2;B1;C1
50104622;C2;C1;D
50008118;C2;C2;C2
50929496;D;D;D
50807862;D;D;D
50427466;D;D;D
50419544;D;D;D
50068958;D;D;C2
50971743;D;D;D
50109248;D;D;D
50009515;C2;C2;D
50645617;D;D;D
50996894;D;D;D
50765981;D;D;D
50048176;D;D;D
50704982;D;D;D
50635344;D;D;D
50034879;D;D;D
50033870;B2;B2;B2
50989790;D;D;D
50753118;D;D;D
50168908;D;D;D
50262920;D;D;D
50187341;D;D;D
50109246;D;D;D
50057340;D;D;D
50094828;D;C2;D
50489798;D;D;D
50110582;D;D;D
50299336;D;D;D
50058602;C1;B2;B2
50374109;D;D;D
50057329;D;D;D
50068960;D;D;D
50039615;C1;C1;C2
50398083;D;D;D
50644254;D;D;D
50230093;D;D;D
50492365;D;D;D
50050484;C2;C2;D
50576836;D;D;D
50070922;C2;C2;C1
50070923;C2;C2;C2
50063413;C2;C2;C2
50633805;D;D;D
50057336;D;D;D
50054770;C2;C2;C2
50917188;D;D;D
50076195;D;D;D
50873415;D;D;D
50316036;D;D;D
50563874;D;D;D
50221051;C2;C2;D
50488880;D;D;D
50093134;D;D;D
50963031;D;D;D
50375385;D;D;D
50072512;C1;C1;C1
50066385;C1;C1;C1
50018688;D;D;D
50868519;D;D;D
50993097;D;D;D
50809601;D;D;D
50008733;D;D;D
50881906;D;D;D
50284959;D;D;D
50057337;C2;C2;D
50017513;C2;C2;C2
50939416;D;D;D
50491660;D;D;D
50189107;D;D;D
50052504;D;D;D
50493140;D;D;D
50086910;D;D;D
50025054;D;D;D
50071795;D;D;D
50316494;D;D;D
50585495;D;D;D
50095390;C1;C1;D
50095389;C2;C2;C2
50090928;C2;C1;D
50048794;D;D;D
50497421;D;D;D
50211919;D;D;D
50430130;D;D;D
50040436;C2;C1;D
50257498;D;D;D
50109247;D;D;D
50881582;D;D;D
50017463;C2;C2;C2
50104625;D;C2;D
50109401;D;D;D
50726110;D;D;D
50197568;D;D;D
50099559;C2;C1;C2
50797972;D;D;D
50033589;D;C1;C2
50054540;D;D;D
50057341;C2;C2;C2
50654462;D;D;D
50104624;C2;C2;D
50003359;B2;B1;C1
50098834;B1;A;B2
50864955;D;D;D
50270834;D;D;D
50063840;D;D;D
50057335;D;D;D
50041581;C2;C2;D
50089094;D;D;D
50243306;D;D;D
50163175;D;D;D
50504223;D;D;D
50459155;D;D;D
50472968;D;D;D
50258613;D;D;D
50883119;D;D;D
50048795;C1;C1;C1
50048456;C2;C2;D
50037289;D;C2;D
50038654;C1;B2;C2
50080985;D;D;D
50971573;D;D;D
50096275;D;D;D
50318187;D;D;D
50867083;D;D;D
50519743;D;D;D
50184652;D;D;D
50518712;D;D;D
50094005;C2;C2;C2
50851837;D;D;D
50534750;D;D;D
50283251;D;D;D
50099364;D;D;D
50012781;D;D;D
50010233;C2;C2;C2
50485067;D;D;D
50345354;D;D;D
50901494;D;D;D
50588907;D;D;D
50134132;D;D;D
50104665;D;D;D
50104666;D;D;D
50104664;D;D;D
50951254;D;D;D
50837427;D;D;D
50563483;D;D;D
50476289;D;D;D
50223844;D;D;D
50789651;D;D;D
50298984;D;D;D
50902202;D;D;D
50780484;D;D;D
50915665;D;D;D
50353713;D;D;D
50455877;D;D;D
50337750;D;D;D
50128809;D;D;D
50067905;D;D;D
50340697;D;D;D
50573292;D;D;D
50334069;D;D;D
50392484;D;D;D
50009702;D;D;D
50016834;D;D;D
50889990;D;D;D
50079865;C2;C2;C2
50872753;D;D;D
50938045;D;D;D
50169769;D;D;D
50272594;D;D;D
50502328;D;D;D
50820230;D;D;D
50332120;D;D;D
50543997;C2;C2;C2
50349678;C2;C2;D
50093998;D;D;D
50792989;D;D;D
50387170;D;D;D
50557904;D;D;D
50090023;D;D;D
50751646;D;D;D
50079874;D;D;D
50388231;D;D;D
50996150;D;D;D
50115031;D;D;D
50337637;D;D;D
50091790;D;C2;D
50054314;D;D;D
50001795;C2;C2;C2
50052184;C2;C2;C2
50114010;D;D;D
50582119;D;D;D
50147420;D;D;D
50083326;C1;B2;C2
50596276;D;D;D
50051514;D;D;D
50002137;D;D;D
50028012;C2;C2;D
50067643;D;D;D
50573322;D;D;D
50024364;D;D;D
50103281;D;C2;D
50031037;C2;C2;C2
50026605;D;D;D
50960466;D;D;D
50488503;D;D;D
50424912;D;C2;D
50059777;D;D;D
50715194;D;D;D
50922114;D;D;D
50707523;D;D;D
50047922;C2;B2;C2
50036010;D;D;D
50049204;D;D;D
50769286;D;D;D
50019072;C2;C2;C2
50011984;D;D;D
50061209;D;D;D
50012724;C2;C2;C2
50019999;D;D;D
50067642;D;D;D
50493175;D;D;D
50031030;C1;C1;C1
50107957;D;D;D
50424394;D;D;D
50261584;D;D;D
50278746;D;D;D
50888919;D;D;D
50048073;C1;C1;C1
50529269;D;D;D
50049416;D;D;D
50372394;D;D;D
50083810;D;D;D
50111420;B1;C1;C1
50059600;D;D;D
50136305;D;D;D
50103282;D;D;D
50263420;D;D;D
50156128;D;D;D
50729845;D;D;D
50713957;D;D;D
50098094;B2;B2;C2
50127306;D;D;D
50011562;D;D;D
50148273;D;D;D
50505491;D;D;D
50431625;D;D;D
50036400;D;D;D
50760963;D;D;D
50052406;D;D;D
50630547;D;D;D
50024373;C2;C2;C2
50106050;D;D;D
50943219;D;D;D
50829157;D;D;D
50639641;D;D;D
50360167;D;D;D
50430157;D;D;D
50525026;D;D;D
50113944;D;D;D
50113222;D;D;D
