Lidnummer;Klassement enkel;Klassement dubbel;Klassement gemengd
50031845;D;D;D
50078460;D;D;D
50036991;C2;C2;C2
50086787;D;D;D
50622811;D;D;D
50067192;D;D;D
50802542;D;D;D
50596071;D;D;D
50896113;D;D;D
50180037;D;D;D
50033351;D;D;D
50070655;D;D;D
50070656;D;D;D
50294431;D;D;D
50633058;D;D;D
50093238;D;D;D
50083388;D;D;D
50048819;D;D;D
50070667;D;D;D
50958941;D;D;D
50841351;D;D;D
50282697;D;D;D
50093239;D;D;D
50098995;D;D;D
50115699;D;D;D
50760688;D;D;D
50093234;D;D;D
50107254;D;D;D
50779982;D;D;D
50923994;D;D;D
50088072;D;D;D
50759248;D;D;D
50788922;D;D;D
50116159;D;D;D
50291904;D;D;D
50242008;D;D;D
50860771;D;D;D
50108753;D;D;D
50108754;D;D;D
50088052;D;D;D
50114287;D;D;D
50103783;D;D;D
50017360;D;D;D
50202243;D;D;D
50373781;D;D;D
50828991;D;D;D
50158937;D;D;D
50078461;D;D;D
50423614;D;D;D
50144340;D;D;D
50885405;D;D;D
50763075;D;D;D
50769138;D;D;D
50865498;D;D;D
50004069;D;D;D
50931172;D;D;D
50992872;D;D;D
50002945;D;D;D
50583158;D;D;D
50235702;D;D;D
50036150;D;D;D
50085763;D;D;D
50042799;D;D;D
50052562;C2;C2;D
50888048;D;D;D
50580779;D;D;D
50388835;D;D;D
50083394;D;D;D
50114739;D;D;D
50068570;D;D;D
50227254;D;D;D
50109649;D;D;D
50071159;C2;C2;D
50053982;C2;C1;C2
50111093;D;D;D
50111094;D;D;D
50839969;D;D;D
50836919;D;D;D
50816659;D;D;D
50408933;D;D;D
50629220;D;D;D
50949985;D;D;D
50110267;D;C2;D
50461761;D;D;D
50100249;D;D;D
50863169;D;D;D
50109833;D;D;D
50109320;C2;C2;C2
50113447;D;D;D
50115135;D;D;D
50720805;D;D;D
50781200;D;D;D
50092615;D;D;D
50291742;D;D;D
50024168;C1;C1;C1
50046948;C1;C1;C1
50075959;C2;C2;C2
50101520;D;D;C2
50061080;C2;C2;C2
50109652;D;D;D
50951122;D;D;D
50443917;D;D;D
50042116;C1;C1;C1
50933701;D;D;D
50820745;D;D;D
50084451;D;D;D
50094954;D;C2;D
50090111;D;D;D
50453998;D;D;D
50082700;C2;C2;C2
50992740;D;D;D
50063544;C2;C2;C2
50108167;C2;C2;D
50104341;B1;B1;C1
50704346;D;D;D
50310984;D;C2;D
50109459;D;D;D
50105617;D;D;D
50916459;D;D;D
50109284;D;D;D
50088073;D;D;D
50111633;C2;C2;C2
50640747;D;D;D
50109285;D;D;D
50890115;D;D;D
50650343;D;D;D
50114466;D;D;D
50011561;D;D;D
50084453;D;D;D
50114468;C1;C1;D
50600702;D;D;D
50109286;D;D;D
50109460;D;D;D
