Lidnummer;Klassement enkel;Klassement dubbel;Klassement gemengd
50933957;D;D;D
50919091;D;D;D
50900498;D;D;D
50900048;D;D;D
50897497;D;D;D
50857606;D;D;D
50826573;D;D;D
50818163;D;D;D
50802682;D;D;D
50792504;D;D;D
50772872;D;D;D
50762982;D;D;D
50758381;D;D;D
50729489;C1;C2;D
50686623;D;D;D
50652370;D;D;D
50610775;D;D;D
50609246;D;D;D
50534181;D;D;D
50519697;D;D;D
50515756;D;D;D
50492942;D;D;D
50462105;D;D;D
50458329;D;D;D
50456377;D;D;D
50455125;D;D;D
50424106;D;D;D
50417371;D;D;D
50321897;D;D;D
50279866;D;D;D
50259601;D;D;D
50255274;D;D;D
50252607;D;D;D
50250884;D;D;D
50229923;D;D;D
50226150;D;D;D
50225073;D;D;D
50214896;D;D;D
50171186;D;D;D
50148680;D;D;D
50125389;D;D;D
50117661;D;D;D
50116753;D;D;D
50116750;D;D;D
50114880;D;D;D
50114879;D;D;D
50114876;D;D;D
50114875;D;D;D
50114873;D;D;D
50114215;D;C2;D
50110816;D;D;D
50110815;D;D;D
50110342;D;C2;D
50109797;D;D;D
50109796;B2;B2;B2
50109794;D;D;D
50109793;D;D;D
50109481;D;D;D
50109476;D;D;D
50109432;D;D;D
50106758;D;D;D
50106757;D;D;D
50106756;D;D;D
50106212;D;D;D
50105501;D;C2;D
50105500;D;D;D
50105334;D;D;D
50105332;C2;C2;D
50104911;D;D;D
50104910;D;D;D
50104908;D;D;D
50103635;D;D;D
50103456;D;D;D
50101874;D;D;D
50100884;C2;C2;D
50099698;D;C2;D
50099448;D;D;D
50098998;B2;B2;B2
50097685;D;D;D
50096285;C2;D;D
50095840;D;D;D
50081301;C2;C2;C1
50080661;C2;C2;D
50080539;D;D;D
50075814;B2;B2;B2
50075813;D;D;D
50075806;B2;B1;B2
50074881;C1;C2;C1
50069933;C1;C1;C1
50069558;C1;C1;C1
50069557;C2;C2;C2
50068747;C1;C2;C2
50068730;D;D;D
50068729;D;D;D
50066454;C2;C2;C2
50061602;C2;C2;C2
50058465;C2;C2;C2
50057828;D;D;D
50055003;D;D;D
50054292;C2;C2;D
50054007;C2;C1;C2
50053253;C2;C2;C2
50052545;D;D;D
50050772;C2;C2;D
50050641;C2;C2;C2
50047566;D;D;D
50046901;D;D;D
50046880;C2;C2;C2
50042810;D;D;D
50030296;D;D;D
50029349;C2;C2;C2
50024000;B2;B2;B2
50999052;D;D;D
50974904;D;D;D
50971107;D;D;D
50957538;D;D;D
50950932;D;D;D
50946145;D;D;D
50914804;D;D;D
50912615;D;D;D
50899503;D;D;D
50897632;D;D;D
50895826;D;D;D
50859188;D;D;D
50855298;D;D;D
50834398;D;D;D
50776568;D;D;D
50769383;D;D;D
50735012;D;D;D
50731629;D;D;D
50702513;D;D;D
50678442;D;D;D
50670662;D;D;D
50636731;D;D;D
50626930;D;D;D
50581139;D;D;D
50572687;D;D;D
50564803;D;D;D
50548859;D;D;D
50468332;D;D;D
50462814;D;D;D
50453181;D;D;D
50442341;D;D;D
50415263;D;D;D
50399136;D;D;D
50389084;D;D;D
50378961;D;D;D
50378279;D;D;D
50362925;D;D;D
50362623;D;D;D
50294040;D;D;D
50290339;D;D;D
50282166;D;D;D
50268511;D;D;D
50247948;D;D;D
50238256;D;D;D
