Lidnummer;Klassement enkel;Klassement dubbel;Klassement gemengd
50660551;D;D;D
50650165;D;D;D
50644122;D;D;D
50640321;D;D;D
50628631;D;D;D
50593811;D;D;D
50589989;D;D;D
50588036;D;D;D
50581244;D;D;D
50577875;D;D;D
50558609;D;D;D
50556592;D;D;D
50555014;D;D;D
50553429;D;D;D
50550217;D;D;D
50527738;D;D;D
50512331;D;D;D
50473506;D;D;D
50470531;D;D;D
50444611;D;D;D
50442376;D;D;D
50438115;D;D;D
50427016;C2;C2;C2
50425722;D;D;D
50408534;D;D;D
50400665;C2;C2;C2
50388630;D;D;D
50385615;D;D;D
50369326;D;D;D
50363905;D;D;D
50356860;D;D;D
50356186;D;D;D
50332945;D;D;D
50295209;D;D;D
50285777;D;D;D
50275607;D;D;D
50274619;D;D;D
50273019;C2;C2;C2
50261371;D;D;D
50243969;D;D;D
50231693;D;D;D
50229230;D;D;D
50227475;D;D;D
50224913;D;D;D
50198874;D;D;D
50189530;D;D;D
50187627;D;D;D
50177699;D;D;D
50145746;D;D;D
50142291;D;D;D
50125036;D;D;D
50115675;D;D;D
50108620;D;D;D
50085386;D;D;D
50064326;D;D;D
50063982;D;D;D
50062807;D;D;D
50019156;C1;C1;C1
50997777;D;D;D
50934279;D;D;D
50929283;D;D;D
50927531;D;D;D
50922742;D;D;D
50911090;D;D;D
50911058;D;D;D
50893440;D;D;D
50885677;D;D;D
50885383;D;D;D
50883852;D;D;D
50868713;D;D;D
50859765;D;D;D
50856197;D;D;D
50845144;D;D;D
50838725;D;D;D
50837478;D;D;D
50837451;D;D;D
50807625;D;D;D
50787330;D;D;D
50783165;D;D;D
50745565;D;D;D
50723987;C2;C2;D
50720023;D;D;D
50709119;D;D;D
50704389;D;D;D
50696947;D;D;D
50690922;D;D;D
50674315;D;D;D
50638122;D;D;D
50629379;D;D;D
50620711;D;D;D
50615300;D;D;D
50590995;D;D;D
50557491;D;D;D
50530755;C2;D;D
50495836;D;D;D
50487280;D;D;D
50480243;D;D;D
50464914;D;D;D
50459368;D;D;D
50440462;D;D;D
50371509;D;D;D
50370995;D;D;D
50357700;D;D;D
50346318;D;D;D
50336088;D;D;D
50333984;D;D;D
50328581;D;D;D
50284657;D;D;D
50264893;D;D;D
50262025;D;D;D
50246232;D;D;D
50243810;D;D;D
50209728;D;D;D
50200984;D;D;D
50143395;D;D;D
50138375;D;D;D
50123351;D;D;D
50121731;D;D;D
50115517;D;D;D
50115048;D;D;D
50115026;D;D;D
50111102;D;D;D
50109059;D;D;D
50108819;D;D;D
50108182;D;D;D
50107978;D;D;D
50107977;D;D;D
50106988;D;D;D
50104907;D;D;D
50104498;D;D;D
50103971;D;D;D
50103796;D;D;D
50103552;D;D;D
50103550;D;D;D
50100475;D;D;D
50100468;D;D;D
50100465;D;D;D
50099659;B2;B2;B2
50099161;D;D;D
50099096;D;D;D
50098435;D;D;D
50096609;D;D;D
50096608;D;D;D
50096596;D;D;D
50096590;D;D;D
50095005;D;D;D
50092794;D;D;D
50092793;D;D;D
50092580;D;D;D
50092344;D;D;D
50090580;C2;C2;C2
50088093;D;D;D
50083811;D;D;D
50083383;D;D;D
50082739;D;D;D
50076272;D;D;D
50071239;D;D;D
50062275;D;D;D
50062001;C2;C2;C2
50060490;D;C2;D
50058944;D;D;D
50058440;C2;C2;C2
50058081;D;D;D
50056501;D;D;D
50056239;C2;C1;D
50054700;D;D;D
50054041;D;D;D
50052647;D;D;D
50052644;D;D;D
50052596;C2;C2;D
50051708;D;D;D
50051706;D;C2;D
50050674;D;C2;D
50048978;D;D;D
50048622;D;D;D
50043698;D;D;D
50042722;D;D;D
50038602;D;D;D
50038073;D;D;D
50035091;D;D;D
50031589;D;D;D
50027985;C1;C1;C1
50026264;D;D;D
50024864;D;D;D
50021069;D;D;D
50019262;D;D;D
50019125;D;D;D
50019056;D;D;D
50018894;D;D;D
50018051;D;D;D
50013054;C2;C2;C2
50010310;D;D;D
50008269;D;D;D
50007197;D;D;D
50006107;C1;C1;C1
50005753;C2;C2;C2
50005639;C2;C2;C2
50002302;C2;C2;C2
50001609;B2;B2;B2
50001592;B2;B2;B2
50000276;D;D;D
50000067;C2;C2;C2
50000049;C2;C2;C2
50941666;D;D;D
50513265;D;D;D
50201107;D;D;D
50184482;C2;C2;C2
50116774;D;D;D
50115224;D;D;D
50114853;D;D;D
50114258;D;C2;D
50112860;D;D;D
50109112;D;D;D
50106904;D;D;D
50105718;C2;C2;D
50105663;D;D;D
50105661;C2;C2;D
50096930;D;D;D
50080714;D;D;D
50078380;D;D;D
50071559;D;D;D
50065407;C2;C2;C2
50060848;C1;C1;C1
50058585;C2;C2;D
50050320;C1;C1;C1
50049068;C1;C1;C1
50039572;C1;C1;C1
50018005;C1;B2;C2
50013998;D;D;D
50816195;D;C2;D
50775618;D;D;D
50771833;D;D;D
50673653;D;D;D
50640658;D;C2;D
50527401;D;D;D
50438751;D;D;D
50380451;D;D;D
50358030;D;D;D
50321641;D;D;D
50283014;D;D;D
50280457;D;D;D
50220179;D;D;D
50168940;D;D;D
50130315;D;D;D
50121081;D;D;D
50116550;D;D;D
50116116;D;D;D
50116115;D;D;D
50116109;D;D;D
50113295;D;D;D
50111259;D;D;D
50110259;D;D;D
50110257;D;D;D
50109854;C2;C2;D
50109853;C2;C2;D
50106989;D;D;D
50106569;D;D;D
50106436;D;D;D
50106435;D;D;D
50106432;D;D;D
50106431;D;D;D
50103972;D;D;D
50103376;D;D;D
50103375;D;D;D
50103196;C2;C2;D
50102350;D;D;D
50102347;D;D;D
50102346;D;D;D
50101497;D;C2;D
50101493;D;D;D
50100816;D;D;D
50100139;D;D;D
50099810;D;D;D
50099808;D;C2;D
50099756;D;D;D
50099753;D;D;D
50099618;D;D;D
50099421;D;D;D
50099312;D;D;D
50098390;D;D;D
50098389;D;D;D
50097074;B2;C1;C2
50097071;D;D;D
50090137;D;D;D
50088749;D;D;D
50088613;D;D;D
50086783;D;D;D
50085970;C2;C2;C2
50083450;D;D;D
50082999;C2;C2;D
50080284;C1;B2;C1
50079794;D;D;D
50079453;C1;C1;C1
50078895;D;D;D
50078893;D;D;D
50078480;B2;B2;C1
50077982;D;D;D
50077783;D;D;D
50075563;C1;C1;C2
50075018;D;D;D
50073642;B2;B2;C1
50072265;B2;B2;B2
50071006;C2;C2;C2
50070088;C1;C1;D
50068981;C1;C1;C1
50068663;D;D;D
50067008;D;D;D
50064526;D;D;D
50064379;C2;C2;C2
50062609;C2;C2;C2
50060591;B2;B2;C1
50058550;D;D;D
50056210;C2;C2;D
50053467;D;D;D
50053249;C1;B2;B2
50052990;D;D;D
50052714;C1;C1;C1
50048209;D;D;D
50045793;D;D;D
50043685;D;D;D
50042625;B2;B2;B2
50040097;D;D;D
50037423;C2;C2;C2
50037208;D;D;D
50035126;C1;C1;C1
50021800;C2;C2;C2
50016360;C2;C1;C2
50013545;C1;C1;C1
50009215;C2;C2;C2
50004887;C2;C2;C2
50000250;C1;C1;C1
30088631;B1;C1;C1
30081136;D;D;D
30057166;D;D;D
30048779;D;D;D
30048112;D;D;D
30044208;D;D;D
30043945;D;D;D
30043147;C1;C2;C1
30033105;C1;C1;C2
30026340;C2;C2;C2
30024726;C1;C1;C2
30022827;D;D;D
30022189;C2;C2;C2
30020927;D;D;D
30099699;D;D;D
30099175;D;D;D
30096878;D;D;D
30096853;D;D;D
30095509;D;D;D
30093947;D;D;D
30093729;D;D;D
30090590;D;D;D
30090515;D;D;D
30088792;D;D;D
30088654;D;D;D
30088119;D;D;D
30084011;D;D;D
30079796;D;D;D
30078102;D;D;D
30077028;D;D;D
30076800;D;D;D
30074650;D;D;D
30074057;D;D;D
30072696;D;D;D
30071267;D;D;D
30071064;D;D;D
30067820;D;D;D
30067662;D;D;D
30067059;D;D;D
30066990;D;D;D
30065650;D;D;D
30063863;D;D;D
30062875;D;D;D
30059444;D;D;D
30059439;D;C2;D
30058284;D;D;D
30056327;D;D;D
30055348;D;D;D
30055347;D;D;D
30054476;D;D;D
30054075;D;D;D
30053488;D;D;D
30053091;D;D;D
30051398;D;D;D
30049223;D;D;D
30049222;D;D;D
30049221;C2;C1;C2
30048724;D;D;D
30045235;C1;B2;C2
30044667;C2;C2;C2
30044611;D;D;D
30044364;D;D;D
30044363;C1;C2;C2
30036624;D;D;D
30033467;D;D;D
30033120;D;C2;D
30029851;C2;C1;C2
30026565;C2;C2;C2
30023174;C1;B2;C2
30022768;D;D;D
30022079;C2;C2;C2
30021495;D;D;D
30019963;D;D;D
30019815;C2;B2;C2
30019692;B2;B2;B2
30017375;D;D;D
30009912;D;D;D
30003862;D;D;D
30003158;D;D;D
30002021;D;D;D
30001143;D;D;D
30000389;D;D;D
50859404;D;D;D
50802046;D;D;D
50770101;D;D;D
50642642;D;D;D
50639951;D;D;D
50607162;D;D;D
50420607;D;D;D
50330721;D;D;D
50314114;D;D;D
50116536;D;D;D
50114867;D;D;D
50114571;D;D;D
50114272;D;D;D
50113390;D;D;D
50110114;D;D;D
50108163;D;D;D
50107818;D;D;D
50105658;D;D;D
50105657;D;D;D
50104507;D;D;D
50103791;D;D;D
50102255;D;D;D
50101734;D;D;D
50099788;D;D;D
50099669;D;D;D
50099668;D;D;D
50093585;D;D;D
50089280;D;D;D
50084789;D;D;D
50084788;D;D;D
50076916;D;D;D
50076257;D;D;D
50076254;D;D;D
50075786;D;D;D
50070891;D;D;D
50062017;D;D;D
50056331;D;D;D
50056044;D;D;D
50051028;D;D;D
50034624;D;D;D
50031218;D;D;D
50025815;D;D;D
50024402;D;D;D
50854305;D;D;D
50852248;D;D;D
50827081;D;D;D
50707752;D;D;D
50635212;D;D;D
50610848;D;D;D
50518895;D;D;D
50400223;D;D;D
50285939;D;D;D
50276069;D;D;D
50129503;D;D;D
50120867;D;D;D
50120786;D;D;D
50115377;D;D;D
50114886;D;D;D
